gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	georeferencedBy	georeferencedDate	georeferenceSources	georeferenceRemarks	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
893485619	85714c48-f762-11e1-a439-00145eb45e9a	http://herbarium.bgbm.org/object/B100483498	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica		SPECIES	Rhamnus cathartica L.	Rhamnus cathartica L.		AM	Tavush province, Ijevan distr., c. 6 km N of Dilij	Tavush			57254bd0-8256-11d8-b7ed-b8a03c50a862	40.76667	44.833328				gbif			1460				2002-06-13T00:00:00	13	6	2002	3039491	3039491	PRESERVED_SPECIMEN	B	Herbarium Berolinense	B 10 0483498		G. Fayvush & al.		CC0_1_0		Fayvush,G. [Ֆայվուշի,Գ.; Файвуш Г.] et al.			2020-03-15T13:45:32.883Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1231086984	7f5260c2-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica	caucasica	VARIETY	Rhamnus cathartica var. caucasica Kusn.	Rhamnus cathartica var. caucasica Kusn.		AM	Armenia, Vayots' Dzor province, area c. 13 km E of Vayk, near Artavan, c. 1.4 km SW of village, forest along rivulet	Vayots Dzor			4e11d750-bafb-11d9-8e53-b8a03c50a862	39.65167	45.60556				gbif			1940				2009-06-18T00:00:00	18	6	2009	8011823	3039491	PRESERVED_SPECIMEN	W	Herbarium W	2010-0011941		Alijanpoor		CC_BY_4_0		Oganesyan,M., Ter-Voskanyan,H., Kugler,K. & Vitek,E.			2020-04-26T06:27:40.353Z		
1231077730	7f5260c2-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica	caucasica	VARIETY	Rhamnus cathartica var. caucasica Kusn.	Rhamnus cathartica var. caucasica Kusn.		AM	Armenia, Vayotsdzor province, Yeghegnadzor distr., c. 12 km N Yeghegnadzor, around village Eghegis	Vayots Dzor			4e11d750-bafb-11d9-8e53-b8a03c50a862	39.86667	45.36667				gbif			1540				2002-06-27T00:00:00	27	6	2002	8011823	3039491	PRESERVED_SPECIMEN	W	Herbarium W	2004-0011515		Alijanpoor		CC_BY_4_0		Fayvush,G. [Ֆայվուշի,Գ.; Файвуш Г.] et al.			2020-04-26T06:27:42.291Z		
893485636	85714c48-f762-11e1-a439-00145eb45e9a	http://herbarium.bgbm.org/object/B100469988	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica		SPECIES	Rhamnus cathartica L.	Rhamnus cathartica L.		AM	Vayotsdzor province, Yeghegnadzor distr., c. 12 km	Vayots Dzor			57254bd0-8256-11d8-b7ed-b8a03c50a862	39.866669	45.366669				gbif			1540				2002-06-27T00:00:00	27	6	2002	3039491	3039491	PRESERVED_SPECIMEN	B	Herbarium Berolinense	B 10 0469988		G. Fayvush		CC0_1_0		Fayvush,G. [Ֆայվուշի,Գ.; Файвуш Г.] et al.			2020-03-15T13:45:32.737Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2521372662	838475f4-f762-11e1-a439-00145eb45e9a	0c0559f5-ab6d-499d-a843-3cc2cf371a9d	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica		SPECIES	Rhamnus cathartica L.	Rhamnus cathartica L.	L.	AM	Yeghegnadzor distr., c. 12 km N Yeghegnadzor, around village Eghegis	Vayots Dzor			6f3ccc65-0a54-4e65-ae7e-13b92d618e7c	39.87	45.37				gbif			1540	0			2002-06-27T00:00:00	27	6	2002	3039491	3039491	PRESERVED_SPECIMEN	BC	BC	BC-902306				CC_BY_NC_4_0		G. Fayvush & al.			2020-02-19T08:28:48.039Z		GEODETIC_DATUM_ASSUMED_WGS84
442115495	858e7462-f762-11e1-a439-00145eb45e9a	http://id.snsb.info/snsb/collection/30471/40273/30030	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica		SPECIES	Rhamnus cathartica L.	Rhamnus cathartica L.		AM	Armenien, Erevan, Botanischer Garten	Yerevan			0674aea0-a7e1-11d8-9534-b8a03c50a862	40.166668	44.516666				gbif							1970-08-30T00:00:00	30	8	1970	3039491	3039491	PRESERVED_SPECIMEN	HAL	HALcoll	HAL 138 / 40273 / 30030				CC_BY_4_0		Simonjan, S. (no. 4060)			2020-04-26T04:17:55.082Z		COORDINATE_ROUNDED
1231077850	7f5260c2-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica	caucasica	VARIETY	Rhamnus cathartica var. caucasica Kusn.	Rhamnus cathartica var. caucasica Kusn.		AM	Inter p. Kafan et Sichauz, in silva Uzun-Meša. [translated from Russian]				4e11d750-bafb-11d9-8e53-b8a03c50a862							LocationNotFound, AttemptedGoogleMaps, AttemptedGetty						1929-08-04T00:00:00	4	8	1929	8011823	3039491	PRESERVED_SPECIMEN	W	Herbarium W	2006-0007567		Alijanpoor		CC_BY_4_0		Schelkovnikov,A. & Kara-Murza,E.			2020-04-26T06:27:40.052Z		
1231078239	7f5260c2-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica	caucasica	VARIETY	Rhamnus cathartica var. caucasica Kusn.	Rhamnus cathartica var. caucasica Kusn.		AM	Megri district, Daglidash mountain, 2200 m. [translated from Russian]				4e11d750-bafb-11d9-8e53-b8a03c50a862							LocationNotFound, AttemptedGoogleMaps, AttemptedGetty		2200				1947-06-08T00:00:00	8	6	1947	8011823	3039491	PRESERVED_SPECIMEN	W	Herbarium W	2006-0008180		Alijanpoor		CC_BY_4_0		Dolukhanov,A.			2020-04-26T06:27:42.167Z		
1231078188	7f5260c2-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica	caucasica	VARIETY	Rhamnus cathartica var. caucasica Kusn.	Rhamnus cathartica var. caucasica Kusn.		AM	Megri district, Daglidash mountain, 2200 m. [translated from Russian]				4e11d750-bafb-11d9-8e53-b8a03c50a862							LocationNotFound, AttemptedGoogleMaps, AttemptedGetty		2200				1947-06-08T00:00:00	8	6	1947	8011823	3039491	PRESERVED_SPECIMEN	W	Herbarium W	2006-0008181		Alijanpoor		CC_BY_4_0		Dolukhanov,A.			2020-04-26T06:27:42.107Z		
1936070691	834c9918-f762-11e1-a439-00145eb45e9a	3a521223-20fe-11e3-9e2e-000c29035824	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica		SPECIES	Rhamnus cathartica L.	Rhamnus cathartica L.	L.	AM	U.R.S.S.				0363cbd4-f666-455e-8e86-0bbddcf51950	40.262515	44.672166	130000	Laura Kostyniuk	30/4/2020								1970-07-10T00:00:00	10	7	1970	3039491	3039491	PRESERVED_SPECIMEN	MA	MA	MA-01-00293421				CC_BY_NC_4_0					2020-02-11T00:03:23.865Z		
